filename,classification,old_filename,generator
kv57cgkv57cgkv57.jpeg,fake,,Nano Banana Pro
2aa0e54b4dc251420a3679b501dc8a06.jpeg,fake,sd_pg3_009.jpg,Stable Diffusion
09edc782a2e242c0840d3b8a3960420d.jpeg,fake,mj_portrait3_037.png,Midjourney
3dbe741ec8da19e60d694783dada6491.jpeg,fake,sd_pg3_010.jpg,Stable Diffusion
3b1558eefcb3008a00a5e863ce729092.jpeg,fake,sd_portrait3_066.jpg,Stable Diffusion
2aee09d253a4606d2b5b4a630fbd6b834074ae2a91a3dd28e361eb8dadafad24_r2.jpeg,fake,Permutations,Adobe Firefly
1a7a5fe1c457806cb6d9fb17649b923a.jpeg,fake,ff_fullbody3_016.jpeg,Adobe Firefly
6f9t1r6f9t1r6f9t.jpeg,fake,,Nano Banana Pro
62ddb30f859923e2231a777f55de69c7.jpeg,fake,mj_ng1_004.png,Midjourney
59de5a40846ba0dca00d56c21c43afd17c4592b3ba6cbffbc73a985b061fb4a4.jpeg,fake,mj_fullbody1_001.png,Midjourney
mnj16pmnj16pmnj1.jpeg,fake,,Nano Banana Pro
64294f3a2adb2e48ac82d6f65ea9d52c.jpeg,fake,mj_ng4_006.png,Midjourney
4c27a50c2f1d7755efe281ea88758885.jpeg,fake,mj_ng3_028.png,Midjourney
0e65a4e5adc50344a43ffbd1f9ff84ea_r1.jpeg,fake,Permutations,Midjourney
3de04fb6e7a042632a00f765cdb60e39224156c3a9d7055951f5a0298feb2dba.jpeg,fake,mj_portrait3_008.png,Midjourney
99c5f61aa990fcbcaff73a63fdaef4cd.jpeg,real,ng1_004.jpeg,
282422ac298c060155c2cc4312119bd0.jpeg,real,fullbody3_025.jpeg,
be43d363ea6ba1e080580d3a2a74c6a000041940d0f27dd9af71faca66afd4ec.jpeg,real,pg3_006.jpeg,
a78602fa52fe9377759a2df17a8a09cdbf52a21626a202b4c2a11460312104f5.jpeg,real,ng1_001.jpeg,
35bdc7578de33e60547e7c87cb903275aed53c3119ae9bf034f455f8c171b6ce.jpeg,real,ng1_002.jpeg,
pexels-victorfreitas-865711.jpeg,real,,
b4f77b64ace4bd0e275f9189bb4dda9f.jpeg,real,ng3_009.jpeg,
c65987f9418f465555948957aa66dced2c94386ef70da3809c09ba7a7fd8dd8b.jpeg,real,pg4_002.jpeg,
56eb13f536b858a48ea41076c246a1f2.jpeg,real,portrait1_011.jpeg,
97cb4675b218ffb0f3902bf9af1c4660a6ec7268f5c08641a605e6d073e0c246.jpeg,real,portrait1_002.jpeg,
1baf3f78a5ea367863f70e867819f795ca6bcf73a331f741ba00f484aed98b61.jpeg,real,ng3_001.jpeg,
0b96dd5fd38f6c18236dcec8df90c549.jpeg,real,portrait2_011.jpeg,
6fb659766b7b27ffcd747e63703b1844aabc1e3a72ebfdfee2c1fe66ca25f15f.jpeg,real,pg1_002.jpeg,
c362188ff928cf10b6cb734ba674c8f91af2ab48af337ebc873cd06769b429a1.jpeg,real,portrait3_008.jpeg,
1c3eb9f1ee43097df710c3c2842fd1689b20102bf3404b000b5d3f28f782c33d.jpeg,real,fullbody2_003.jpeg,
pexels-maryiaplashchynskaya-3400764.jpeg,real,,
0ae750b9ec4bd9ceaaab393a928b77ac.jpeg,real,pg4_005.jpeg,
bb940e5b5eb4667fa106086a3ddd34ce.jpeg,real,ng1_006.png,
fb1eff5acdf20dd6aa902af046c1837a.jpeg,real,pg4_006.jpeg,
d6cf6f6e189a0e2a890f90e0cba185c2.jpeg,real,portrait4_003.jpeg,
6d8fba24ae67e57a85da5aa46b49dce4.jpeg,real,ng1_005.jpeg,
pexels-koolshooters-9944253.jpeg,real,,
pexels-damianruitenga-4127694.jpeg,real,,
pexels-mizunokozuki-13929969.jpeg,real,,
pexels-markarronsmith-2168356.jpeg,real,,
the-magician-2817077_1280.jpeg,real,,
f87823469991b7b1704ff9e4d4c7d05674097995db209a8e20dbcafdbc5cece9.jpeg,real,portrait3_004.jpeg,
pexels-canan-altan-2152293568-32121769.jpeg,real,,
caabe61d5e181b8da352b0e7b73dfeb4.jpeg,real,portrait1_006.jpeg,
ea4e8c5d30ee38844257b18989107682474d269dfbec4930f4dac730b0ea9cda.jpeg,real,fullbody4_002.jpeg,
ebecd99d83795b2053728fef55e17c896376cf242474f246aea909fde054717c.jpeg,real,portrait3_001.jpeg,
ce8af8f993f2ac560f968fe64c1a887b.jpeg,real,fullbody3_018.jpeg,
35ed44c64fa9ebe57b0f51a055d1b56a.jpeg,real,ng3_019.jpeg,
b12ad54e54c8cece38e862c6b11edf66f1f15459d504b5107c3af796aec8c334.jpeg,real,fullbody3_003.jpeg,
c38189c54230e478e366311946620a3a.jpeg,real,portrait3_011.jpeg,
e4fd0b7c8c7d3dca42aab01618224fabc57cb8690ec4f3566b3335f83c8ab0ff.jpeg,real,fullbody3_008.jpeg,
415c0714987b4920f194b5f2053152b8bdaa8f4185583c984f32b950506be724.jpeg,real,fullbody1_001.jpeg,
d07a9e73914dad147383eb40cb21a296.jpeg,real,ng2_003.jpeg,
765078d524b481fbb30b8acc1a7adf6926c79df9a914c4bd94fc97418e090acc.jpeg,real,portrait2_001.jpeg,
b472b7624e736851155da6ece8d096ed1d6ffb74cd3710667a4e956d0812cfc9.jpeg,real,portrait3_007.jpeg,
pexels-cottonbro-10485417.jpeg,real,,
d7f62506968b2101234d06827fc7f959bd2e09c98c21e28d86ef8a4b6c7f9ca7.jpeg,real,fullbody3_002.jpeg,
4fa5905a0ca903730ed82db21f56a81acec7efe5a0a5eb54a18235ab42f97cd6.jpeg,real,ng3_008.jpeg,
b9836f50be0bc4098534bf668a8d68209c3708e6574595f492faeff454fcba7f.jpeg,real,portrait2_002.jpeg,
b31a7713cbbb921686f0f1cb14e3f0d011c90b361d2899642eeca804e7b9e7ff.jpeg,real,portrait1_001.jpeg,
03a001b85768dd4c7bcb8e20486bf0f20973314b1ec269ef1057f6565de34016.jpeg,real,pg4_001.jpeg,
06086a7210d32ee6f6d7afdf64e95c67.jpeg,real,pg3_007.jpeg,
7d95deb6a1fc9795a849e2eab10f49b6.jpeg,real,portrait1_004.jpeg,
blood-church-258948_1280.jpeg,real,,
pexels-orestsv-1821699.jpeg,real,,
